,actual,test
0,35.27,
1,35.27,
2,35.27,
3,35.27,
4,35.27,
5,35.27,
6,35.27,
7,35.27,
8,35.27,
9,35.27,
10,35.27,
11,35.27,
12,35.25,
13,35.25,
14,35.25,
15,35.25,
16,35.25,
17,35.25,
18,35.25,
19,35.25,
20,35.25,
21,35.25,
22,35.25,
23,35.25,
24,35.23,
25,35.23,
26,35.23,
27,35.23,
28,35.23,
29,35.23,
30,35.23,
31,35.23,
32,35.23,
33,35.23,
34,35.23,
35,35.23,
36,35.09,
37,35.09,
38,35.09,
39,35.09,
40,35.09,
41,35.09,
42,35.09,
43,35.09,
44,35.09,
45,35.09,
46,35.09,
47,35.09,
48,35.1,
49,35.1,
50,35.1,
51,35.1,
52,35.1,
53,35.1,
54,35.1,
55,35.1,
56,35.1,
57,35.1,
58,35.1,
59,35.1,
60,35.12,
61,35.12,
62,35.12,
63,35.12,
64,35.12,
65,35.12,
66,35.12,
67,35.12,
68,35.12,
69,35.12,
70,35.12,
71,35.12,
72,35.13,
73,35.13,
74,35.13,
75,35.13,
76,35.13,
77,35.13,
78,35.13,
79,35.13,
80,35.13,
81,35.13,
82,35.13,
83,35.13,
84,34.95,
85,34.95,
86,34.95,
87,34.95,
88,34.95,
89,34.95,
90,34.95,
91,34.95,
92,34.95,
93,34.95,
94,34.95,
95,34.95,
96,35.5,
97,36.0,
98,37.0,
99,37.86,
100,40.7,
101,41.14,
102,39.46,
103,39.19,
104,40.18,
105,39.210003,
106,39.78,
107,41.079998,
108,42.3,
109,42.6,
110,43.16,
111,43.31,
112,43.46,
113,41.44,
114,41.76,
115,41.09,
116,40.87,
117,40.44,
118,37.4,
119,35.17,
120,34.94,
121,34.99,
122,35.09,
123,35.62,
124,35.95,
125,35.42,
126,35.32,
127,35.38,
128,36.19,
129,37.52,
130,37.44,
131,37.44,
132,37.88,
133,38.74,
134,38.87,
135,39.01,
136,40.52,
137,40.1,
138,40.95,
139,42.71,
140,42.03,
141,42.5,
142,42.86,
143,43.48,
144,45.75,
145,48.26,
146,48.33,
147,49.029995,
148,54.62,
149,62.09,
150,65.66,
151,67.03,
152,65.46,
153,64.86,
154,62.91,
155,63.91,
156,65.14,
157,74.2,
158,84.37,
159,90.50001,
160,101.96,
161,120.12,
162,120.17,
163,106.76,
164,102.97,
165,100.08,
166,94.92,
167,106.72,
168,129.19,
169,150.13,
170,168.42,
171,172.24,
172,163.27,
173,154.1,
174,142.98,
175,154.64,
176,151.75,
177,158.78,
178,181.66,
179,183.78,
180,176.26999,
181,179.6,
182,178.15999,
183,169.84,
184,167.39,
185,164.24002,
186,165.17,
187,163.0,
188,144.17,
189,142.79,
190,142.42,
191,139.3,
192,131.04999,
193,131.05998,
194,132.76,
195,127.939995,
196,126.91999,
197,125.71,
198,117.73,
199,109.92999,
200,114.149994,
201,116.149994,
202,130.45999,
203,133.93,
204,132.25998,
205,136.24,
206,148.23,
207,149.17,
208,146.60999,
209,140.77998,
210,143.39,
211,144.94,
212,149.52998,
213,158.95,
214,162.1,
215,160.45001,
216,173.18,
217,178.14,
218,183.61,
219,175.28,
220,176.31,
221,183.75002,
222,188.72998,
223,206.3,
224,212.08,
225,227.44,
226,206.2,
227,207.85,
228,227.28,
229,245.67,
230,242.05,
231,239.11002,
232,257.59,
233,279.07,
234,294.74,
235,300.82,
236,354.94998,
237,391.66,
238,391.99,
239,455.08,
240,675.31,
241,665.32,
242,553.58,
243,517.41,
244,513.8,
245,600.72,
246,643.27,
247,627.15,
248,673.63,
249,661.15,
250,624.77,
251,538.26,
252,557.39,
253,499.76,
254,499.11,
255,495.8,
256,479.7,
257,461.09,
258,409.07,
259,410.16,
260,443.75,
261,437.76,
262,413.37,
263,410.09,
264,384.14,
265,374.13,
266,330.25,
267,350.30002,
268,333.71,
269,314.98,
270,338.97,
271,364.22998,
272,437.31,
273,422.15,
274,414.89,
275,444.5,
276,481.29,
277,491.09,
278,419.7,
279,432.88,
280,438.01,
281,412.84,
282,402.90997,
283,416.2,
284,411.8,
285,393.6,
286,381.7,
287,388.34,
288,370.89,
289,385.96,
290,394.26,
291,381.37,
292,377.4,
293,377.7,
294,347.70996,
295,347.7,
296,340.2,
297,341.0,
298,342.0,
299,319.54004,
300,302.79,
301,299.1,
302,313.49997,
303,326.8,
304,316.0,
305,316.5,
306,317.2,
307,330.4,
308,323.35,
309,325.85,
310,321.5,
311,321.9,
312,347.48,
313,338.89,
314,345.7,
315,340.44,
316,342.4,
317,342.7,
318,348.34,
319,376.66,
320,417.73,
321,423.51,
322,397.56,
323,390.92,
324,408.26,
325,401.12,
326,408.91,
327,438.35,
328,460.23,
329,449.59,
330,450.51996,
331,461.15,
332,460.38,
333,465.35,
334,467.57004,
335,486.24,
336,476.58,
337,442.07,
338,443.61,
339,451.54996,
340,451.07,
341,451.33,
342,437.63,
343,431.28003,
344,413.46,
345,406.78,
346,420.17,
347,419.05,
348,404.01,
349,387.51,
350,390.15,
351,384.4,
352,371.05,
353,367.6,
354,375.04,
355,365.14,
356,361.75,
357,366.88,
358,394.26,
359,409.39,
360,410.11,
361,416.81,
362,393.06,
363,374.24,
364,369.05,
365,352.33,
366,362.53,
367,394.73,
368,389.32,
369,380.74,
370,381.73,
371,376.94998,
372,383.64,
373,363.83,
374,363.34,
375,358.37997,
376,356.95,
377,366.72,
378,367.69,
379,356.30997,
380,348.73996,
381,358.69,
382,360.17,
383,361.73,
384,354.45,
385,353.90997,
386,344.34,
387,338.62,
388,337.24,
389,340.81,
390,352.72,
391,343.06,
392,345.43,
393,344.38,
394,335.02,
395,334.82,
396,329.01,
397,329.31,
398,330.08,
399,342.15,
400,367.18,
401,371.89,
402,392.19,
403,378.84003,
404,355.27997,
405,364.18,
406,373.83,
407,383.29996,
408,386.88,
409,381.91,
410,384.13,
411,377.27,
412,381.43,
413,385.64,
414,385.49,
415,380.36,
416,391.58,
417,389.77,
418,384.39,
419,379.29,
420,378.55,
421,376.64,
422,382.12,
423,391.03,
424,385.22,
425,387.56,
426,386.23,
427,383.67004,
428,383.06,
429,383.13998,
430,385.31,
431,387.43997,
432,399.45,
433,404.76,
434,396.21002,
435,392.85,
436,391.93,
437,385.27,
438,383.47,
439,387.35,
440,383.13998,
441,381.07,
442,377.85,
443,369.0,
444,355.11002,
445,346.58,
446,351.81,
447,344.47,
448,343.84,
449,340.76,
450,324.1,
451,324.01004,
452,322.82,
453,324.87,
454,306.04,
455,288.74,
456,289.1,
457,297.49,
458,295.94,
459,308.29,
460,299.1,
461,292.32,
462,292.86996,
463,284.11,
464,288.98,
465,295.93,
466,294.12,
467,291.68002,
468,287.08,
469,287.33,
470,285.96,
471,282.62,
472,276.44,
473,261.31,
474,256.08,
475,256.69,
476,264.74,
477,310.72,
478,293.18,
479,283.07,
480,284.32,
481,299.86,
482,286.39,
483,279.69,
484,275.19,
485,285.73,
486,281.59,
487,274.47,
488,273.68,
489,270.0,
490,266.01,
491,271.45,
492,265.49,
493,261.87,
494,263.03,
495,260.48,
496,272.36,
497,270.23,
498,267.53,
499,272.39,
500,283.42,
501,283.06,
502,276.16,
503,275.85,
504,281.51,
505,295.5,
506,294.06,
507,302.68002,
508,314.49,
509,321.18,
510,313.29,
511,310.26,
512,319.14,
513,316.56,
514,319.07,
515,331.92004,
516,356.859,
517,358.97,
518,340.55,
519,328.18,
520,355.683,
521,356.352,
522,351.02,
523,359.768,
524,378.945,
525,378.92,
526,389.91,
527,406.953,
528,413.788,
529,404.878,
530,406.667,
531,403.25998,
532,383.779,
533,392.373,
534,398.091,
535,400.50998,
536,405.275,
537,420.464,
538,439.375,
539,442.079,
540,424.03,
541,423.35,
542,433.85,
543,429.233,
544,421.873,
545,430.657,
546,424.479,426.8666
547,437.93,418.62726
548,456.048,433.03397
549,469.898,450.42953
550,476.666,462.1547
551,510.097,469.16135
552,549.864,502.84106
553,554.995,539.14545
554,557.093,540.53754
555,610.653,544.6554
556,675.39294,598.4675
557,596.145,655.29
558,633.71,569.57336
559,632.593,620.5396
560,598.186,612.9351
561,585.7801,572.33014
562,627.82697,570.1716
563,629.791,610.572
564,631.166,605.7235
565,664.745,609.30774
566,654.895,645.42914
567,679.368,629.2981
568,667.31,655.63715
569,655.66,641.88763
570,665.38,629.87744
571,665.411,642.3701
572,712.653,639.013
573,754.604,686.5189
574,806.248,723.7557
575,803.203,770.36475
576,889.595,763.53284
577,922.298,849.26733
578,968.434,869.8431
579,909.705,908.3087
580,888.663,847.7508
581,889.488,830.4781
582,939.772,833.35565
583,839.0251,877.50507
584,829.932,774.7931
585,806.62,780.67365
586,760.863,759.982
587,816.092,710.65186
588,858.69,776.73645
589,943.0,811.06006
590,924.273,889.38824
591,890.2,865.1786
592,928.645,832.4989
593,945.67,875.08563
594,934.228,880.3392
595,949.37494,866.9217
596,996.591,887.0694
597,1043.159,929.5045
598,1127.036,967.3427
599,1134.724,1044.5674
600,1117.963,1040.4117
601,1095.413,1020.2049
602,1113.337,999.6309
603,1148.688,1014.59607
604,1205.434,1045.7064
605,1232.92,1096.3127
606,1192.966,1116.493
607,1215.81,1072.2999
608,1270.977,1098.7097
609,1342.024,1145.9717
610,1369.886,1202.994
611,1390.553,1221.5631
612,1360.46,1234.8022
613,1374.68,1198.8684
614,1423.2601,1211.4093
615,1480.89,1254.9501
616,1512.5798,1299.8969
617,1529.36,1322.2134
618,1572.75,1330.6914
619,1759.01,1364.9369
620,1772.14,1530.2362
621,1666.43,1506.0621
622,1739.0,1393.1759
623,1639.97,1477.0013
624,1654.05,1359.9103
625,1744.82,1383.937
626,1675.9501,1482.9558
627,1649.2,1393.9054
628,1589.04,1384.928
629,1598.76,1336.0046
630,1594.29,1347.7075
631,1630.31,1350.6462
632,1744.81,1386.6737
633,1746.58,1495.0012
634,1721.64,1474.1919
635,1684.762,1445.0149
636,1671.8478,1412.2552
637,1627.57,1397.2649
638,1593.0862,1359.379
639,1487.8573,1336.922
640,1414.0271,1248.7007
641,1343.35,1198.1835
642,1285.5156,1150.3651
643,1351.7418,1109.8368
644,1348.6,1191.4409
645,1316.5798,1184.36
646,1275.86,1156.5876
647,1221.512,1128.4998
648,1244.27,1077.8883
649,1299.58,1108.4312
650,1336.08,1161.2456
651,1298.45,1189.5447
652,1288.74,1151.1244
653,1279.1,1146.084
654,1310.59,1135.6577
655,1295.13,1163.9812
656,1236.5502,1147.2705
657,1222.49,1092.9093
658,1175.33,1090.0055
659,1200.62,1045.021
660,1250.75,1076.388
661,1227.08,1126.2775
662,1178.63,1095.25
663,1198.93,1055.1571
664,1198.63,1081.7693
665,1181.5,1074.9456
666,1128.31,1058.5294
667,1117.93,1013.66925
668,1124.77,1010.03174
669,1159.25,1018.4595
670,1086.44,1050.9148
671,1075.74,978.6437
672,1097.91,979.1693
673,1199.5,1003.59186
674,1245.1401,1095.0365
675,1242.26,1129.6587
676,1260.95,1119.9652
677,1276.4,1138.7174
678,1336.66,1144.2227
679,1340.17,1196.1626
680,1326.6101,1190.6486
681,1266.55,1174.3445
682,1238.35,1118.6133
683,1157.36,1096.2349
684,1192.0999,1023.2522
685,1234.2,1068.8344
686,1231.42,1109.9355
687,1266.88,1100.3844
688,1246.04,1141.5187
689,1260.2601,1114.4586
690,1236.8401,1127.2646
691,1283.04,1104.0219
692,1314.07,1148.6416
693,1279.51,1174.2134
694,1281.9,1133.3464
695,1264.45,1143.1008
696,1331.3,1123.8113
697,1330.7301,1187.6912
698,1324.66,1180.1797
699,1334.76,1172.1049
700,1303.45,1185.6936
701,1281.57,1148.7853
702,1237.71,1132.1515
703,1201.71,1094.7361
704,1198.39,1065.6
705,1215.39,1070.546
706,1220.65,1088.7604
707,1250.4,1093.8254
708,1291.75,1124.2426
709,1320.07,1160.4882
710,1300.9,1179.8392
711,1285.91,1156.3296
712,1283.7,1142.7103
713,1359.04,1140.7124
714,1412.89,1211.4624
715,1500.41,1253.1135
716,1510.58,1328.0363
717,1494.81,1323.7002
718,1470.79,1298.3834
719,1479.13,1274.5095
720,1560.67,1279.6553
721,1597.1,1355.9777
722,1591.93,1378.0284
723,1683.17,1365.8071
724,1715.91,1452.2734
725,1732.22,1461.2095
726,1846.5101,1462.9504
727,1968.63,1567.7322
728,1921.92,1653.1163
729,1900.27,1576.7217
730,1866.3,1555.8558
731,1858.42,1520.4751
732,1866.98,1508.6401
733,1808.17,1524.8073
734,1718.23,1470.9283
735,1760.04,1400.2295
736,1850.2599,1459.5255
737,1834.57,1541.0481
738,1807.84,1512.7147
739,1785.28,1493.822
740,1775.14,1474.9867
741,1776.85,1462.4368
742,1821.76,1468.5204
743,1790.43,1513.326
744,1816.02,1477.9702
745,1856.3,1505.747
746,1947.83,1541.0095
747,1936.86,1613.3599
748,1848.5,1586.9529
749,1836.57,1498.1239
750,1732.74,1500.1537
751,1764.56,1402.5491
752,1680.78,1451.856
753,1664.45,1382.414
754,1725.07,1380.0049
755,1797.55,1454.4081
756,1897.71,1509.42
757,1854.54,1595.3518
758,1912.73,1534.466
759,1999.77,1584.9711
760,1992.13,1651.8937
761,1942.9,1614.4985
762,1951.02,1568.4321
763,1918.7,1579.9229
764,1915.9501,1543.2853
765,1916.25,1546.7509
766,1984.11,1554.7268
767,2026.18,1617.0819
768,2034.04,1646.861
769,2023.24,1641.5889
770,2158.01,1626.9674
771,2331.45,1746.1539
772,2351.13,1876.9088
773,2326.4397,
